host_ts,source,temp_c,hum_rh,dist_mm,curr_ma,seq,cmd,crc_ok,port
1774841969.834,sim,29.25,45.60,,,,,,COM4
1774841969.920,frame,29.24,45.60,,,204,1,1,COM4
1774841970.074,frame,29.24,45.60,,,205,161,1,COM4
1774841970.221,frame,,,1230,452,206,2,1,COM4
1774841970.409,sim,29.40,45.90,,,,,,COM4
1774841970.492,frame,29.39,45.90,,,207,1,1,COM4
1774841970.639,frame,29.39,45.90,,,208,161,1,COM4
1774841970.798,frame,,,1195,474,209,2,1,COM4
1774841971.440,sim,29.55,46.20,,,,,,COM4
1774841971.522,frame,29.54,46.19,,,210,1,1,COM4
1774841971.675,frame,29.54,46.19,,,211,161,1,COM4
1774841971.826,frame,,,1160,496,212,2,1,COM4
1774841972.464,sim,29.70,46.50,,,,,,COM4
1774841972.542,frame,29.69,46.49,,,213,1,1,COM4
1774841974.252,frame,29.69,46.49,,,214,161,1,COM4
1774841974.401,frame,,,1125,518,215,2,1,COM4
1774841974.474,sim,29.85,46.80,,,,,,COM4
1774841974.549,frame,29.84,46.79,,,216,1,1,COM4
1774841974.696,frame,29.84,46.79,,,217,161,1,COM4
1774841974.845,frame,,,1090,540,218,2,1,COM4
1774841974.929,sim,30.00,47.10,,,,,,COM4
1774841975.012,frame,29.99,47.09,,,219,1,1,COM4
1774841975.161,frame,29.99,47.09,,,220,161,1,COM4
1774841975.305,frame,,,1055,562,221,2,1,COM4
1774841975.412,sim,24.00,47.40,,,,,,COM4
1774841975.486,frame,24.00,47.39,,,222,1,1,COM4
1774841975.635,frame,,,1020,584,223,2,1,COM4
1774841976.410,sim,24.15,47.70,,,,,,COM4
1774841976.485,frame,24.15,47.69,,,224,1,1,COM4
1774841976.628,frame,,,985,606,225,2,1,COM4
1774841977.406,sim,24.30,48.00,,,,,,COM4
1774841977.482,frame,24.30,47.99,,,226,1,1,COM4
1774841977.629,frame,,,950,628,227,2,1,COM4
1774841978.402,sim,24.45,48.30,,,,,,COM4
1774841978.475,frame,24.45,48.29,,,228,1,1,COM4
1774841978.614,frame,,,915,650,229,2,1,COM4
1774841979.399,sim,24.60,48.60,,,,,,COM4
1774841979.473,frame,24.59,48.59,,,230,1,1,COM4
1774841979.613,frame,,,880,672,231,2,1,COM4
1774841979.752,frame,,,880,672,232,162,1,COM4
1774841980.398,sim,24.75,48.90,,,,,,COM4
1774841980.469,frame,24.74,48.89,,,233,1,1,COM4
1774841980.610,frame,,,845,694,234,2,1,COM4
1774841980.753,frame,,,845,694,235,162,1,COM4
1774841981.397,sim,24.90,49.20,,,,,,COM4
1774841981.471,frame,24.89,49.19,,,236,1,1,COM4
1774841981.613,frame,,,810,716,237,2,1,COM4
1774841981.756,frame,,,810,716,238,162,1,COM4
1774841982.397,sim,25.05,49.50,,,,,,COM4
1774841982.470,frame,25.04,49.49,,,239,1,1,COM4
1774841982.614,frame,,,775,738,240,2,1,COM4
1774841982.759,frame,,,775,738,241,162,1,COM4
1774841983.397,sim,25.20,49.80,,,,,,COM4
1774841983.471,frame,25.19,49.79,,,242,1,1,COM4
1774841983.618,frame,,,740,760,243,2,1,COM4
1774841983.761,frame,,,740,760,244,162,1,COM4
1774841984.407,sim,25.35,50.10,,,,,,COM4
1774841984.485,frame,25.34,50.09,,,245,1,1,COM4
1774841984.631,frame,,,705,782,246,2,1,COM4
1774841984.777,frame,,,705,782,247,162,1,COM4
1774841985.424,sim,25.50,50.40,,,,,,COM4
1774841985.499,frame,25.49,50.39,,,248,1,1,COM4
1774841985.645,frame,,,670,804,249,2,1,COM4
1774841985.789,frame,,,670,804,250,162,1,COM4
1774841986.441,sim,25.65,50.70,,,,,,COM4
1774841986.521,frame,25.64,50.69,,,251,1,1,COM4
1774841986.666,frame,,,635,826,252,2,1,COM4
1774841986.814,frame,,,635,826,253,162,1,COM4
1774841987.445,sim,25.80,51.00,,,,,,COM4
1774841987.522,frame,25.79,50.99,,,254,1,1,COM4
1774841987.671,frame,,,600,848,255,2,1,COM4
1774841987.818,frame,,,600,848,256,162,1,COM4
1774841988.451,sim,25.95,51.30,,,,,,COM4
1774841988.527,frame,25.94,51.29,,,257,1,1,COM4
1774841988.672,frame,,,565,870,258,2,1,COM4
1774841988.822,frame,,,565,870,259,162,1,COM4
1774841989.461,sim,26.10,51.60,,,,,,COM4
1774841989.560,frame,26.09,51.59,,,260,1,1,COM4
1774841989.706,frame,,,530,892,261,2,1,COM4
1774841989.859,frame,,,530,892,262,162,1,COM4
1774841990.394,sim,26.25,51.90,,,,,,COM4
1774841990.468,frame,26.24,51.89,,,263,1,1,COM4
1774841990.610,frame,,,495,914,264,2,1,COM4
1774841990.770,frame,,,495,914,265,162,1,COM4
1774841991.395,sim,26.40,52.20,,,,,,COM4
1774841991.468,frame,26.39,52.19,,,266,1,1,COM4
1774841991.607,frame,,,460,936,267,2,1,COM4
1774841991.753,frame,,,460,936,268,162,1,COM4
1774841992.393,sim,26.55,52.50,,,,,,COM4
1774841992.465,frame,26.54,52.49,,,269,1,1,COM4
1774841992.609,frame,,,425,958,270,2,1,COM4
1774841992.752,frame,,,425,958,271,162,1,COM4
1774841993.392,sim,26.70,52.80,,,,,,COM4
1774841993.466,frame,26.69,52.79,,,272,1,1,COM4
1774841993.611,frame,,,390,980,273,2,1,COM4
1774841993.757,frame,,,390,980,274,162,1,COM4
1774841994.399,sim,26.85,53.10,,,,,,COM4
1774841994.474,frame,26.84,53.09,,,275,1,1,COM4
1774841994.622,frame,,,355,1002,276,2,1,COM4
1774841994.767,frame,,,355,1002,277,162,1,COM4
1774841995.399,sim,27.00,53.40,,,,,,COM4
1774841995.481,frame,26.99,53.39,,,278,1,1,COM4
1774841995.631,frame,,,320,1024,279,2,1,COM4
1774841995.779,frame,,,320,1024,280,162,1,COM4
1774841996.414,sim,27.15,53.70,,,,,,COM4
1774841996.491,frame,27.14,53.69,,,281,1,1,COM4
1774841996.635,frame,,,285,1046,282,2,1,COM4
1774841996.782,frame,,,285,1046,283,162,1,COM4
1774841997.417,sim,27.30,54.00,,,,,,COM4
1774841997.491,frame,27.29,53.99,,,284,1,1,COM4
1774841997.639,frame,,,250,1068,285,2,1,COM4
1774841997.785,frame,,,250,1068,286,162,1,COM4
1774841998.423,sim,27.45,54.30,,,,,,COM4
1774841998.500,frame,27.44,54.29,,,287,1,1,COM4
1774841998.645,frame,,,215,1090,288,2,1,COM4
1774841998.789,frame,,,215,1090,289,162,1,COM4
