host_ts,source,temp_c,hum_rh,seq,cmd,crc_ok,port
1774841194.029,sim,25.20,56.70,,,,COM4
1774841194.111,frame,25.19,56.69,1475,1,1,COM4
1774841194.550,sim,25.35,57.00,,,,COM4
1774841194.627,frame,25.34,56.99,1476,1,1,COM4
1774841195.547,sim,25.50,57.30,,,,COM4
1774841195.626,frame,25.49,57.29,1477,1,1,COM4
1774841196.552,sim,25.65,57.60,,,,COM4
1774841196.631,frame,25.64,57.59,1478,1,1,COM4
1774841197.551,sim,25.80,57.90,,,,COM4
1774841197.626,frame,25.79,57.89,1479,1,1,COM4
1774841198.548,sim,25.95,58.20,,,,COM4
1774841198.624,frame,25.94,58.19,1480,1,1,COM4
1774841199.540,sim,26.10,58.50,,,,COM4
1774841199.617,frame,26.09,58.49,1481,1,1,COM4
1774841200.538,sim,26.25,58.80,,,,COM4
1774841200.616,frame,26.24,58.79,1482,1,1,COM4
1774841201.535,sim,26.40,59.10,,,,COM4
1774841201.611,frame,26.39,59.09,1483,1,1,COM4
1774841202.535,sim,26.55,59.40,,,,COM4
1774841202.614,frame,26.54,59.39,1484,1,1,COM4
1774841202.760,frame,26.54,59.39,1485,161,1,COM4
1774841203.532,sim,26.70,59.70,,,,COM4
1774841203.610,frame,26.69,59.69,1486,1,1,COM4
1774841203.756,frame,26.69,59.69,1487,161,1,COM4
1774841204.532,sim,26.85,60.00,,,,COM4
1774841204.609,frame,26.84,59.99,1488,1,1,COM4
1774841204.755,frame,26.84,59.99,1489,161,1,COM4
1774841205.533,sim,27.00,60.30,,,,COM4
1774841205.609,frame,26.99,60.29,1490,1,1,COM4
1774841205.760,frame,26.99,60.29,1491,161,1,COM4
1774841206.534,sim,27.15,60.60,,,,COM4
1774841206.610,frame,27.14,60.59,1492,1,1,COM4
1774841206.756,frame,27.14,60.59,1493,161,1,COM4
1774841207.534,sim,27.30,60.90,,,,COM4
1774841207.610,frame,27.29,60.89,1494,1,1,COM4
1774841207.757,frame,27.29,60.89,1495,161,1,COM4
1774841208.534,sim,27.45,61.20,,,,COM4
1774841208.612,frame,27.44,61.19,1496,1,1,COM4
1774841208.763,frame,27.44,61.19,1497,161,1,COM4
1774841209.535,sim,27.60,61.50,,,,COM4
1774841209.613,frame,27.59,61.49,1498,1,1,COM4
1774841209.763,frame,27.59,61.49,1499,161,1,COM4
1774841210.536,sim,27.75,61.80,,,,COM4
1774841210.612,frame,27.74,61.79,1500,1,1,COM4
1774841210.762,frame,27.74,61.79,1501,161,1,COM4
1774841211.536,sim,27.90,62.10,,,,COM4
1774841211.613,frame,27.89,62.09,1502,1,1,COM4
1774841211.762,frame,27.89,62.09,1503,161,1,COM4
1774841212.537,sim,28.05,62.40,,,,COM4
1774841212.614,frame,28.04,62.39,1504,1,1,COM4
1774841212.764,frame,28.04,62.39,1505,161,1,COM4
1774841213.538,sim,28.20,62.70,,,,COM4
1774841213.616,frame,28.19,62.69,1506,1,1,COM4
1774841213.767,frame,28.19,62.69,1507,161,1,COM4
1774841214.538,sim,28.35,63.00,,,,COM4
1774841214.613,frame,28.34,62.99,1508,1,1,COM4
1774841214.761,frame,28.34,62.99,1509,161,1,COM4
1774841215.540,sim,28.50,63.30,,,,COM4
1774841215.616,frame,28.49,63.29,1510,1,1,COM4
1774841215.767,frame,28.49,63.29,1511,161,1,COM4
1774841216.540,sim,28.65,63.60,,,,COM4
1774841216.619,frame,28.64,63.59,1512,1,1,COM4
1774841216.768,frame,28.64,63.59,1513,161,1,COM4
1774841217.541,sim,28.80,63.90,,,,COM4
1774841217.618,frame,28.79,63.89,1514,1,1,COM4
1774841217.766,frame,28.79,63.89,1515,161,1,COM4
1774841218.542,sim,28.95,64.20,,,,COM4
1774841218.617,frame,28.94,64.19,1516,1,1,COM4
1774841218.765,frame,28.94,64.19,1517,161,1,COM4
1774841219.542,sim,29.10,64.50,,,,COM4
1774841219.620,frame,29.09,64.49,1518,1,1,COM4
1774841219.768,frame,29.09,64.49,1519,161,1,COM4
1774841220.543,sim,29.25,64.80,,,,COM4
1774841220.621,frame,29.24,64.79,1520,1,1,COM4
1774841220.770,frame,29.24,64.79,1521,161,1,COM4
1774841221.543,sim,29.40,65.10,,,,COM4
1774841221.629,frame,29.39,65.09,1522,1,1,COM4
1774841221.791,frame,29.39,65.09,1523,161,1,COM4
1774841222.544,sim,29.55,65.40,,,,COM4
1774841222.628,frame,29.54,65.39,1524,1,1,COM4
1774841222.788,frame,29.54,65.39,1525,161,1,COM4
1774841223.545,sim,29.70,65.70,,,,COM4
1774841223.626,frame,29.69,65.69,1526,1,1,COM4
1774841223.787,frame,29.69,65.69,1527,161,1,COM4
1774841224.546,sim,29.85,66.00,,,,COM4
1774841226.593,frame,29.84,65.99,1528,1,1,COM4
1774841226.744,frame,29.84,65.99,1529,161,1,COM4
1774841226.821,sim,30.00,66.30,,,,COM4
1774841226.897,frame,29.99,66.29,1530,1,1,COM4
1774841227.047,frame,29.99,66.29,1531,161,1,COM4
1774841227.124,sim,24.00,66.60,,,,COM4
1774841227.202,frame,24.00,66.59,1532,1,1,COM4
1774841227.344,frame,24.00,66.59,1533,161,1,COM4
1774841227.549,sim,24.15,66.90,,,,COM4
1774841227.625,frame,24.15,66.89,1534,1,1,COM4
1774841227.775,frame,24.15,66.89,1535,161,1,COM4
1774841228.550,sim,24.30,67.20,,,,COM4
1774841228.623,frame,24.30,67.19,1536,1,1,COM4
1774841228.767,frame,24.30,67.19,1537,161,1,COM4
1774841229.551,sim,24.45,67.50,,,,COM4
1774841229.625,frame,24.45,67.49,1538,1,1,COM4
1774841229.771,frame,24.45,67.49,1539,161,1,COM4
1774841230.553,sim,24.60,67.80,,,,COM4
1774841230.626,frame,24.59,67.79,1540,1,1,COM4
1774841230.769,frame,24.59,67.79,1541,161,1,COM4
1774841231.554,sim,24.75,68.10,,,,COM4
1774841231.642,frame,24.74,68.09,1542,1,1,COM4
1774841231.805,frame,24.74,68.09,1543,161,1,COM4
1774841232.555,sim,24.90,68.40,,,,COM4
1774841232.631,frame,24.89,68.39,1544,1,1,COM4
1774841232.780,frame,24.89,68.39,1545,161,1,COM4
1774841233.555,sim,25.05,68.70,,,,COM4
1774841233.629,frame,25.04,68.69,1546,1,1,COM4
1774841233.775,frame,25.04,68.69,1547,161,1,COM4
1774841234.557,sim,25.20,69.00,,,,COM4
1774841234.633,frame,25.19,69.00,1548,1,1,COM4
1774841234.783,frame,25.19,69.00,1549,161,1,COM4
1774841235.557,sim,25.35,69.30,,,,COM4
1774841235.630,frame,25.34,69.30,1550,1,1,COM4
1774841235.777,frame,25.34,69.30,1551,161,1,COM4
1774841236.559,sim,25.50,69.60,,,,COM4
1774841236.631,frame,25.49,69.60,1552,1,1,COM4
1774841236.793,frame,25.49,69.60,1553,161,1,COM4
1774841237.559,sim,25.65,69.90,,,,COM4
1774841237.641,frame,25.64,69.90,1554,1,1,COM4
1774841237.793,frame,25.64,69.90,1555,161,1,COM4
1774841238.560,sim,25.80,45.00,,,,COM4
1774841238.634,frame,25.79,45.00,1556,1,1,COM4
1774841239.558,sim,25.95,45.30,,,,COM4
1774841239.629,frame,25.94,45.30,1557,1,1,COM4
1774841240.556,sim,26.10,45.60,,,,COM4
1774841240.630,frame,26.09,45.60,1558,1,1,COM4
1774841241.571,sim,26.25,45.90,,,,COM4
1774841241.653,frame,26.24,45.90,1559,1,1,COM4
1774841242.586,sim,26.40,46.20,,,,COM4
1774841242.669,frame,26.39,46.19,1560,1,1,COM4
1774841243.581,sim,26.55,46.50,,,,COM4
1774841243.658,frame,26.54,46.49,1561,1,1,COM4
1774841243.802,frame,26.54,46.49,1562,161,1,COM4
1774841244.551,sim,26.70,46.80,,,,COM4
1774841244.625,frame,26.69,46.79,1563,1,1,COM4
1774841244.768,frame,26.69,46.79,1564,161,1,COM4
1774841245.551,sim,26.85,47.10,,,,COM4
1774841245.624,frame,26.84,47.09,1565,1,1,COM4
1774841245.765,frame,26.84,47.09,1566,161,1,COM4
1774841246.552,sim,27.00,47.40,,,,COM4
1774841246.627,frame,26.99,47.39,1567,1,1,COM4
1774841246.771,frame,26.99,47.39,1568,161,1,COM4
1774841247.553,sim,27.15,47.70,,,,COM4
1774841247.626,frame,27.14,47.69,1569,1,1,COM4
1774841247.771,frame,27.14,47.69,1570,161,1,COM4
1774841248.553,sim,27.30,48.00,,,,COM4
1774841248.627,frame,27.29,47.99,1571,1,1,COM4
1774841248.772,frame,27.29,47.99,1572,161,1,COM4
1774841249.554,sim,27.45,48.30,,,,COM4
1774841249.627,frame,27.44,48.29,1573,1,1,COM4
1774841249.769,frame,27.44,48.29,1574,161,1,COM4
1774841250.554,sim,27.60,48.60,,,,COM4
1774841250.628,frame,27.59,48.59,1575,1,1,COM4
1774841250.774,frame,27.59,48.59,1576,161,1,COM4
1774841251.554,sim,27.75,48.90,,,,COM4
1774841251.629,frame,27.74,48.89,1577,1,1,COM4
1774841251.779,frame,27.74,48.89,1578,161,1,COM4
1774841252.554,sim,27.90,49.20,,,,COM4
1774841252.629,frame,27.89,49.19,1579,1,1,COM4
1774841252.774,frame,27.89,49.19,1580,161,1,COM4
1774841253.555,sim,28.05,49.50,,,,COM4
1774841253.630,frame,28.04,49.49,1581,1,1,COM4
1774841253.774,frame,28.04,49.49,1582,161,1,COM4
1774841254.555,sim,28.20,49.80,,,,COM4
1774841254.629,frame,28.19,49.79,1583,1,1,COM4
1774841254.772,frame,28.19,49.79,1584,161,1,COM4
1774841255.556,sim,28.35,50.10,,,,COM4
1774841255.629,frame,28.34,50.09,1585,1,1,COM4
1774841255.772,frame,28.34,50.09,1586,161,1,COM4
1774841256.557,sim,28.50,50.40,,,,COM4
1774841256.630,frame,28.49,50.39,1587,1,1,COM4
1774841256.773,frame,28.49,50.39,1588,161,1,COM4
1774841257.557,sim,28.65,50.70,,,,COM4
1774841257.635,frame,28.64,50.69,1589,1,1,COM4
1774841257.783,frame,28.64,50.69,1590,161,1,COM4
1774841258.558,sim,28.80,51.00,,,,COM4
1774841258.633,frame,28.79,50.99,1591,1,1,COM4
1774841258.782,frame,28.79,50.99,1592,161,1,COM4
1774841259.559,sim,28.95,51.30,,,,COM4
1774841259.633,frame,28.94,51.29,1593,1,1,COM4
1774841259.778,frame,28.94,51.29,1594,161,1,COM4
1774841260.559,sim,29.10,51.60,,,,COM4
1774841260.631,frame,29.09,51.59,1595,1,1,COM4
1774841260.776,frame,29.09,51.59,1596,161,1,COM4
1774841261.559,sim,29.25,51.90,,,,COM4
1774841261.634,frame,29.24,51.89,1597,1,1,COM4
1774841261.780,frame,29.24,51.89,1598,161,1,COM4
1774841262.560,sim,29.40,52.20,,,,COM4
1774841262.633,frame,29.39,52.19,1599,1,1,COM4
1774841262.781,frame,29.39,52.19,1600,161,1,COM4
1774841263.560,sim,29.55,52.50,,,,COM4
1774841263.632,frame,29.54,52.49,1601,1,1,COM4
1774841263.777,frame,29.54,52.49,1602,161,1,COM4
1774841264.560,sim,29.70,52.80,,,,COM4
1774841264.636,frame,29.69,52.79,1603,1,1,COM4
1774841264.780,frame,29.69,52.79,1604,161,1,COM4
1774841265.561,sim,29.85,53.10,,,,COM4
1774841265.640,frame,29.84,53.09,1605,1,1,COM4
1774841265.791,frame,29.84,53.09,1606,161,1,COM4
1774841266.561,sim,30.00,53.40,,,,COM4
1774841266.636,frame,29.99,53.39,1607,1,1,COM4
1774841266.783,frame,29.99,53.39,1608,161,1,COM4
1774841267.561,sim,24.00,53.70,,,,COM4
1774841267.638,frame,24.00,53.69,1609,1,1,COM4
1774841268.558,sim,24.15,54.00,,,,COM4
1774841268.633,frame,24.15,53.99,1610,1,1,COM4
1774841269.556,sim,24.30,54.30,,,,COM4
1774841269.630,frame,24.30,54.29,1611,1,1,COM4
1774841270.553,sim,24.45,54.60,,,,COM4
1774841270.629,frame,24.45,54.59,1612,1,1,COM4
1774841271.551,sim,24.60,54.90,,,,COM4
1774841271.627,frame,24.59,54.89,1613,1,1,COM4
1774841272.548,sim,24.75,55.20,,,,COM4
1774841272.620,frame,24.74,55.19,1614,1,1,COM4
1774841273.546,sim,24.90,55.50,,,,COM4
1774841273.621,frame,24.89,55.49,1615,1,1,COM4
1774841274.543,sim,25.05,55.80,,,,COM4
1774841274.619,frame,25.04,55.79,1616,1,1,COM4
1774841275.541,sim,25.20,56.10,,,,COM4
1774841275.617,frame,25.19,56.09,1617,1,1,COM4
1774841276.538,sim,25.35,56.40,,,,COM4
1774841276.612,frame,25.34,56.39,1618,1,1,COM4
1774841277.536,sim,25.50,56.70,,,,COM4
1774841277.613,frame,25.49,56.69,1619,1,1,COM4
1774841278.533,sim,25.65,57.00,,,,COM4
1774841278.610,frame,25.64,56.99,1620,1,1,COM4
1774841279.531,sim,25.80,57.30,,,,COM4
1774841279.606,frame,25.79,57.29,1621,1,1,COM4
1774841280.528,sim,25.95,57.60,,,,COM4
1774841280.605,frame,25.94,57.59,1622,1,1,COM4
1774841281.525,sim,26.10,57.90,,,,COM4
1774841281.600,frame,26.09,57.89,1623,1,1,COM4
1774841282.523,sim,26.25,58.20,,,,COM4
1774841282.596,frame,26.24,58.19,1624,1,1,COM4
1774841283.520,sim,26.40,58.50,,,,COM4
1774841283.592,frame,26.39,58.49,1625,1,1,COM4
1774841284.518,sim,26.55,58.80,,,,COM4
1774841284.590,frame,26.54,58.79,1626,1,1,COM4
1774841284.733,frame,26.54,58.79,1627,161,1,COM4
1774841285.518,sim,26.70,59.10,,,,COM4
1774841285.596,frame,26.69,59.09,1628,1,1,COM4
1774841285.739,frame,26.69,59.09,1629,161,1,COM4
1774841286.519,sim,26.85,59.40,,,,COM4
1774841286.593,frame,26.84,59.39,1630,1,1,COM4
1774841286.740,frame,26.84,59.39,1631,161,1,COM4
1774841287.519,sim,27.00,59.70,,,,COM4
1774841287.594,frame,26.99,59.69,1632,1,1,COM4
1774841287.737,frame,26.99,59.69,1633,161,1,COM4
1774841288.519,sim,27.15,60.00,,,,COM4
1774841288.598,frame,27.14,59.99,1634,1,1,COM4
1774841288.746,frame,27.14,59.99,1635,161,1,COM4
1774841289.520,sim,27.30,60.30,,,,COM4
1774841289.598,frame,27.29,60.29,1636,1,1,COM4
1774841289.740,frame,27.29,60.29,1637,161,1,COM4
1774841290.520,sim,27.45,60.60,,,,COM4
1774841290.593,frame,27.44,60.59,1638,1,1,COM4
1774841290.735,frame,27.44,60.59,1639,161,1,COM4
1774841291.521,sim,27.60,60.90,,,,COM4
1774841291.595,frame,27.59,60.89,1640,1,1,COM4
1774841291.741,frame,27.59,60.89,1641,161,1,COM4
1774841292.522,sim,27.75,61.20,,,,COM4
1774841292.596,frame,27.74,61.19,1642,1,1,COM4
1774841292.742,frame,27.74,61.19,1643,161,1,COM4
1774841293.523,sim,27.90,61.50,,,,COM4
1774841293.597,frame,27.89,61.49,1644,1,1,COM4
1774841293.743,frame,27.89,61.49,1645,161,1,COM4
1774841294.524,sim,28.05,61.80,,,,COM4
1774841294.601,frame,28.04,61.79,1646,1,1,COM4
1774841294.748,frame,28.04,61.79,1647,161,1,COM4
1774841295.524,sim,28.20,62.10,,,,COM4
1774841295.601,frame,28.19,62.09,1648,1,1,COM4
1774841295.747,frame,28.19,62.09,1649,161,1,COM4
1774841296.525,sim,28.35,62.40,,,,COM4
1774841296.602,frame,28.34,62.39,1650,1,1,COM4
1774841296.748,frame,28.34,62.39,1651,161,1,COM4
1774841297.526,sim,28.50,62.70,,,,COM4
1774841297.598,frame,28.49,62.69,1652,1,1,COM4
1774841297.746,frame,28.49,62.69,1653,161,1,COM4
1774841298.527,sim,28.65,63.00,,,,COM4
1774841298.612,frame,28.64,62.99,1654,1,1,COM4
1774841298.761,frame,28.64,62.99,1655,161,1,COM4
1774841299.527,sim,28.80,63.30,,,,COM4
1774841299.603,frame,28.79,63.29,1656,1,1,COM4
1774841299.751,frame,28.79,63.29,1657,161,1,COM4
1774841300.528,sim,28.95,63.60,,,,COM4
1774841300.603,frame,28.94,63.59,1658,1,1,COM4
1774841300.751,frame,28.94,63.59,1659,161,1,COM4
1774841301.529,sim,29.10,63.90,,,,COM4
1774841301.604,frame,29.09,63.89,1660,1,1,COM4
1774841301.749,frame,29.09,63.89,1661,161,1,COM4
1774841302.529,sim,29.25,64.20,,,,COM4
1774841302.605,frame,29.24,64.19,1662,1,1,COM4
1774841302.757,frame,29.24,64.19,1663,161,1,COM4
1774841303.530,sim,29.40,64.50,,,,COM4
1774841303.607,frame,29.39,64.49,1664,1,1,COM4
1774841303.755,frame,29.39,64.49,1665,161,1,COM4
1774841304.531,sim,29.55,64.80,,,,COM4
1774841304.608,frame,29.54,64.79,1666,1,1,COM4
1774841304.757,frame,29.54,64.79,1667,161,1,COM4
1774841305.532,sim,29.70,65.10,,,,COM4
1774841305.608,frame,29.69,65.09,1668,1,1,COM4
1774841305.752,frame,29.69,65.09,1669,161,1,COM4
1774841306.533,sim,29.85,65.40,,,,COM4
1774841306.608,frame,29.84,65.39,1670,1,1,COM4
1774841306.755,frame,29.84,65.39,1671,161,1,COM4
1774841307.533,sim,30.00,65.70,,,,COM4
1774841307.609,frame,29.99,65.69,1672,1,1,COM4
1774841307.755,frame,29.99,65.69,1673,161,1,COM4
1774841308.534,sim,24.00,66.00,,,,COM4
1774841308.606,frame,24.00,65.99,1674,1,1,COM4
1774841308.754,frame,24.00,65.99,1675,161,1,COM4
1774841309.534,sim,24.15,66.30,,,,COM4
1774841309.617,frame,24.15,66.29,1676,1,1,COM4
1774841309.773,frame,24.15,66.29,1677,161,1,COM4
1774841310.535,sim,24.30,66.60,,,,COM4
1774841310.615,frame,24.30,66.59,1678,1,1,COM4
1774841310.772,frame,24.30,66.59,1679,161,1,COM4
1774841311.536,sim,24.45,66.90,,,,COM4
1774841311.611,frame,24.45,66.89,1680,1,1,COM4
1774841311.756,frame,24.45,66.89,1681,161,1,COM4
1774841312.537,sim,24.60,67.20,,,,COM4
1774841312.612,frame,24.59,67.19,1682,1,1,COM4
1774841312.756,frame,24.59,67.19,1683,161,1,COM4
1774841313.537,sim,24.75,67.50,,,,COM4
1774841313.611,frame,24.74,67.49,1684,1,1,COM4
1774841313.755,frame,24.74,67.49,1685,161,1,COM4
1774841314.538,sim,24.90,67.80,,,,COM4
1774841314.612,frame,24.89,67.79,1686,1,1,COM4
1774841314.757,frame,24.89,67.79,1687,161,1,COM4
1774841315.538,sim,25.05,68.10,,,,COM4
1774841315.616,frame,25.04,68.09,1688,1,1,COM4
1774841315.762,frame,25.04,68.09,1689,161,1,COM4
1774841316.538,sim,25.20,68.40,,,,COM4
1774841316.612,frame,25.19,68.39,1690,1,1,COM4
1774841316.759,frame,25.19,68.39,1691,161,1,COM4
1774841317.538,sim,25.35,68.70,,,,COM4
1774841317.614,frame,25.34,68.69,1692,1,1,COM4
1774841317.758,frame,25.34,68.69,1693,161,1,COM4
1774841318.539,sim,25.50,69.00,,,,COM4
1774841318.614,frame,25.49,69.00,1694,1,1,COM4
1774841318.760,frame,25.49,69.00,1695,161,1,COM4
1774841319.539,sim,25.65,69.30,,,,COM4
1774841319.617,frame,25.64,69.30,1696,1,1,COM4
1774841319.767,frame,25.64,69.30,1697,161,1,COM4
1774841320.540,sim,25.80,69.60,,,,COM4
1774841320.614,frame,25.79,69.60,1698,1,1,COM4
1774841320.762,frame,25.79,69.60,1699,161,1,COM4
1774841321.540,sim,25.95,69.90,,,,COM4
1774841321.616,frame,25.94,69.90,1700,1,1,COM4
1774841321.769,frame,25.94,69.90,1701,161,1,COM4
1774841322.541,sim,26.10,45.00,,,,COM4
1774841322.615,frame,26.09,45.00,1702,1,1,COM4
1774841323.538,sim,26.25,45.30,,,,COM4
1774841323.613,frame,26.24,45.30,1703,1,1,COM4
1774841324.536,sim,26.40,45.60,,,,COM4
1774841324.611,frame,26.39,45.60,1704,1,1,COM4
1774841325.534,sim,26.55,45.90,,,,COM4
1774841325.609,frame,26.54,45.90,1705,1,1,COM4
1774841325.754,frame,26.54,45.90,1706,161,1,COM4
1774841326.534,sim,26.70,46.20,,,,COM4
1774841326.611,frame,26.69,46.19,1707,1,1,COM4
1774841326.758,frame,26.69,46.19,1708,161,1,COM4
1774841327.535,sim,26.85,46.50,,,,COM4
1774841327.610,frame,26.84,46.49,1709,1,1,COM4
1774841327.756,frame,26.84,46.49,1710,161,1,COM4
1774841328.536,sim,27.00,46.80,,,,COM4
1774841328.613,frame,26.99,46.79,1711,1,1,COM4
1774841328.763,frame,26.99,46.79,1712,161,1,COM4
1774841329.537,sim,27.15,47.10,,,,COM4
1774841329.612,frame,27.14,47.09,1713,1,1,COM4
1774841329.761,frame,27.14,47.09,1714,161,1,COM4
1774841330.538,sim,27.30,47.40,,,,COM4
1774841330.613,frame,27.29,47.39,1715,1,1,COM4
1774841330.762,frame,27.29,47.39,1716,161,1,COM4
1774841331.538,sim,27.45,47.70,,,,COM4
1774841331.616,frame,27.44,47.69,1717,1,1,COM4
1774841331.762,frame,27.44,47.69,1718,161,1,COM4
1774841332.538,sim,27.60,48.00,,,,COM4
1774841332.617,frame,27.59,47.99,1719,1,1,COM4
1774841332.761,frame,27.59,47.99,1720,161,1,COM4
1774841333.539,sim,27.75,48.30,,,,COM4
1774841333.614,frame,27.74,48.29,1721,1,1,COM4
1774841333.759,frame,27.74,48.29,1722,161,1,COM4
1774841334.540,sim,27.90,48.60,,,,COM4
