host_ts,source,temp_c,hum_rh,dist_mm,curr_ma,seq,cmd,crc_ok,port
1774859385.472,sim,25.60,51.20,,,,,,COM4
1774859385.559,frame,25.59,51.19,,,6,1,1,COM4
1774859385.729,frame,,,1060,438,7,2,1,COM4
1774859386.381,sim,25.75,51.50,,,,,,COM4
1774859386.467,frame,25.74,51.49,,,8,1,1,COM4
1774859386.628,frame,,,1025,460,9,2,1,COM4
1774859387.310,sim,25.90,51.80,,,,,,COM4
1774859387.397,frame,25.89,51.79,,,10,1,1,COM4
1774859387.563,frame,,,990,482,11,2,1,COM4
1774859388.307,sim,26.05,52.10,,,,,,COM4
1774859388.392,frame,26.04,52.09,,,12,1,1,COM4
1774859388.557,frame,,,955,504,13,2,1,COM4
1774859389.304,sim,26.20,52.40,,,,,,COM4
1774859389.392,frame,26.19,52.39,,,14,1,1,COM4
1774859389.557,frame,,,920,526,15,2,1,COM4
1774859390.302,sim,26.35,52.70,,,,,,COM4
1774859390.387,frame,26.34,52.69,,,16,1,1,COM4
1774859390.551,frame,,,885,548,17,2,1,COM4
1774859391.299,sim,26.50,53.00,,,,,,COM4
1774859391.384,frame,26.49,52.99,,,18,1,1,COM4
1774859391.548,frame,,,850,570,19,2,1,COM4
1774859392.297,sim,26.65,53.30,,,,,,COM4
1774859392.381,frame,26.64,53.29,,,20,1,1,COM4
1774859392.548,frame,,,815,592,21,2,1,COM4
1774859393.294,sim,26.80,53.60,,,,,,COM4
1774859393.379,frame,26.79,53.59,,,22,1,1,COM4
1774859393.550,frame,,,780,614,23,2,1,COM4
1774859394.291,sim,26.95,53.90,,,,,,COM4
1774859394.374,frame,26.94,53.89,,,24,1,1,COM4
1774859394.536,frame,,,745,636,25,2,1,COM4
1774859395.287,sim,27.10,54.20,,,,,,COM4
1774859395.374,frame,27.09,54.19,,,26,1,1,COM4
1774859395.537,frame,,,710,658,27,2,1,COM4
1774859396.284,sim,27.25,54.50,,,,,,COM4
1774859396.368,frame,27.24,54.49,,,28,1,1,COM4
1774859396.532,frame,,,675,680,29,2,1,COM4
1774859397.280,sim,27.40,54.80,,,,,,COM4
1774859397.366,frame,27.39,54.79,,,30,1,1,COM4
1774859397.531,frame,,,640,702,31,2,1,COM4
1774859398.277,sim,27.55,55.10,,,,,,COM4
1774859398.362,frame,27.54,55.09,,,32,1,1,COM4
1774859398.527,frame,,,605,724,33,2,1,COM4
1774859399.273,sim,27.70,55.40,,,,,,COM4
1774859399.364,frame,27.69,55.39,,,34,1,1,COM4
1774859399.533,frame,,,570,746,35,2,1,COM4
1774859399.701,frame,,,570,746,36,162,1,COM4
1774859400.269,sim,27.85,55.70,,,,,,COM4
1774859400.358,frame,27.84,55.69,,,37,1,1,COM4
1774859400.529,frame,,,535,768,38,2,1,COM4
1774859400.697,frame,,,535,768,39,162,1,COM4
1774859401.265,sim,28.00,56.00,,,,,,COM4
1774859401.354,frame,27.99,55.99,,,40,1,1,COM4
1774859401.528,frame,,,500,790,41,2,1,COM4
1774859401.698,frame,,,500,790,42,162,1,COM4
1774859402.261,sim,28.15,56.30,,,,,,COM4
1774859402.349,frame,28.14,56.29,,,43,1,1,COM4
1774859402.521,frame,,,465,812,44,2,1,COM4
1774859402.691,frame,,,465,812,45,162,1,COM4
1774859403.257,sim,28.30,56.60,,,,,,COM4
1774859403.344,frame,28.29,56.59,,,46,1,1,COM4
1774859403.517,frame,,,430,834,47,2,1,COM4
1774859403.682,frame,,,430,834,48,162,1,COM4
1774859404.253,sim,28.45,56.90,,,,,,COM4
1774859404.342,frame,28.44,56.89,,,49,1,1,COM4
1774859404.513,frame,,,395,856,50,2,1,COM4
1774859404.681,frame,,,395,856,51,162,1,COM4
1774859405.250,sim,28.60,57.20,,,,,,COM4
1774859405.337,frame,28.59,57.19,,,52,1,1,COM4
1774859405.507,frame,28.59,57.19,,,53,161,1,COM4
1774859405.676,frame,,,360,878,54,2,1,COM4
1774859405.851,frame,,,360,878,55,162,1,COM4
1774859406.247,sim,28.75,57.50,,,,,,COM4
1774859406.332,frame,28.74,57.49,,,56,1,1,COM4
1774859406.499,frame,28.74,57.49,,,57,161,1,COM4
1774859406.667,frame,,,325,900,58,2,1,COM4
1774859406.834,frame,,,325,900,59,162,1,COM4
1774859407.244,sim,28.90,57.80,,,,,,COM4
1774859407.329,frame,28.89,57.79,,,60,1,1,COM4
1774859407.493,frame,28.89,57.79,,,61,161,1,COM4
1774859407.659,frame,,,290,922,62,2,1,COM4
1774859407.827,frame,,,290,922,63,162,1,COM4
1774859408.241,sim,29.05,58.10,,,,,,COM4
1774859408.329,frame,29.04,58.09,,,64,1,1,COM4
1774859408.494,frame,29.04,58.09,,,65,161,1,COM4
1774859408.660,frame,,,255,944,66,2,1,COM4
1774859408.827,frame,,,255,944,67,162,1,COM4
1774859409.238,sim,29.20,58.40,,,,,,COM4
1774859409.322,frame,29.19,58.39,,,68,1,1,COM4
1774859409.494,frame,29.19,58.39,,,69,161,1,COM4
1774859409.661,frame,,,220,966,70,2,1,COM4
1774859409.828,frame,,,220,966,71,162,1,COM4
1774859410.235,sim,29.35,58.70,,,,,,COM4
1774859410.322,frame,29.34,58.69,,,72,1,1,COM4
1774859410.490,frame,29.34,58.69,,,73,161,1,COM4
1774859410.659,frame,,,185,988,74,2,1,COM4
1774859410.825,frame,,,185,988,75,162,1,COM4
1774859411.231,sim,29.50,59.00,,,,,,COM4
1774859411.317,frame,29.49,58.99,,,76,1,1,COM4
1774859411.485,frame,29.49,58.99,,,77,161,1,COM4
1774859411.652,frame,,,150,1010,78,2,1,COM4
1774859411.822,frame,,,150,1010,79,162,1,COM4
1774859412.228,sim,29.65,59.30,,,,,,COM4
1774859412.313,frame,29.64,59.29,,,80,1,1,COM4
1774859412.482,frame,29.64,59.29,,,81,161,1,COM4
1774859412.658,frame,,,115,1032,82,2,1,COM4
1774859412.825,frame,,,115,1032,83,162,1,COM4
1774859413.225,sim,29.80,59.60,,,,,,COM4
1774859413.310,frame,29.79,59.59,,,84,1,1,COM4
1774859413.477,frame,29.79,59.59,,,85,161,1,COM4
1774859413.642,frame,,,1300,1054,86,2,1,COM4
1774859413.811,frame,,,1300,1054,87,162,1,COM4
1774859414.221,sim,29.95,59.90,,,,,,COM4
1774859414.307,frame,29.94,59.89,,,88,1,1,COM4
