host_ts,source,temp_c,hum_rh,dist_mm,curr_ma,seq,cmd,crc_ok,port
1774842193.887,sim,25.95,62.40,,,,,,COM4
1774842193.973,frame,25.94,62.39,,,915,1,1,COM4
1774842194.124,frame,25.94,62.39,,,916,161,1,COM4
1774842194.282,frame,,,740,1156,917,2,1,COM4
1774842194.440,frame,,,740,1156,918,162,1,COM4
1774842194.520,sim,26.10,62.70,,,,,,COM4
1774842194.599,frame,26.09,62.69,,,919,1,1,COM4
1774842194.749,frame,26.09,62.69,,,920,161,1,COM4
1774842194.895,frame,,,705,1178,921,2,1,COM4
1774842195.045,frame,,,705,1178,922,162,1,COM4
1774842195.122,sim,26.25,63.00,,,,,,COM4
1774842195.197,frame,26.24,62.99,,,923,1,1,COM4
1774842195.349,frame,26.24,62.99,,,924,161,1,COM4
1774842195.502,frame,,,670,1200,925,2,1,COM4
1774842195.654,frame,,,670,1200,926,162,1,COM4
1774842196.103,sim,26.40,63.30,,,,,,COM4
1774842196.180,frame,26.39,63.29,,,927,1,1,COM4
1774842196.325,frame,26.39,63.29,,,928,161,1,COM4
1774842196.471,frame,,,635,1222,929,2,1,COM4
1774842196.627,frame,,,635,1222,930,162,1,COM4
1774842197.100,sim,26.55,63.60,,,,,,COM4
1774842197.177,frame,26.54,63.59,,,931,1,1,COM4
1774842197.326,frame,26.54,63.59,,,932,161,1,COM4
1774842197.478,frame,,,600,1244,933,2,1,COM4
1774842197.629,frame,,,600,1244,934,162,1,COM4
1774842198.098,sim,26.70,63.90,,,,,,COM4
1774842198.172,frame,26.69,63.89,,,935,1,1,COM4
1774842198.317,frame,26.69,63.89,,,936,161,1,COM4
1774842198.464,frame,,,565,1266,937,2,1,COM4
1774842198.611,frame,,,565,1266,938,162,1,COM4
1774842199.095,sim,26.85,64.20,,,,,,COM4
1774842199.171,frame,26.84,64.19,,,939,1,1,COM4
1774842199.315,frame,26.84,64.19,,,940,161,1,COM4
1774842199.463,frame,,,530,1288,941,2,1,COM4
1774842199.607,frame,,,530,1288,942,162,1,COM4
1774842200.092,sim,27.00,64.50,,,,,,COM4
1774842200.171,frame,26.99,64.49,,,943,1,1,COM4
1774842200.320,frame,26.99,64.49,,,944,161,1,COM4
1774842200.471,frame,,,495,1310,945,2,1,COM4
1774842200.622,frame,,,495,1310,946,162,1,COM4
1774842201.090,sim,27.15,64.80,,,,,,COM4
1774842201.166,frame,27.14,64.79,,,947,1,1,COM4
1774842201.317,frame,27.14,64.79,,,948,161,1,COM4
1774842201.466,frame,,,460,1332,949,2,1,COM4
1774842201.616,frame,,,460,1332,950,162,1,COM4
1774842202.088,sim,27.30,65.10,,,,,,COM4
1774842202.162,frame,27.29,65.09,,,951,1,1,COM4
1774842202.313,frame,27.29,65.09,,,952,161,1,COM4
1774842202.458,frame,,,425,1354,953,2,1,COM4
1774842202.612,frame,,,425,1354,954,162,1,COM4
1774842203.085,sim,27.45,65.40,,,,,,COM4
1774842203.160,frame,27.44,65.39,,,955,1,1,COM4
1774842203.309,frame,27.44,65.39,,,956,161,1,COM4
1774842203.456,frame,,,390,1376,957,2,1,COM4
1774842203.610,frame,,,390,1376,958,162,1,COM4
1774842204.083,sim,27.60,65.70,,,,,,COM4
1774842204.163,frame,27.59,65.69,,,959,1,1,COM4
1774842204.333,frame,27.59,65.69,,,960,161,1,COM4
1774842204.483,frame,,,355,1398,961,2,1,COM4
1774842204.637,frame,,,355,1398,962,162,1,COM4
1774842205.081,sim,27.75,66.00,,,,,,COM4
1774842205.158,frame,27.74,65.99,,,963,1,1,COM4
1774842205.306,frame,27.74,65.99,,,964,161,1,COM4
1774842205.469,frame,,,320,1420,965,2,1,COM4
1774842205.635,frame,,,320,1420,966,162,1,COM4
1774842206.079,sim,27.90,66.30,,,,,,COM4
1774842206.162,frame,27.89,66.29,,,967,1,1,COM4
1774842206.315,frame,27.89,66.29,,,968,161,1,COM4
1774842206.469,frame,,,285,1442,969,2,1,COM4
1774842206.628,frame,,,285,1442,970,162,1,COM4
1774842207.076,sim,28.05,66.60,,,,,,COM4
1774842207.153,frame,28.04,66.59,,,971,1,1,COM4
1774842207.300,frame,28.04,66.59,,,972,161,1,COM4
1774842208.204,frame,,,250,1464,973,2,1,COM4
1774842208.353,frame,,,250,1464,974,162,1,COM4
1774842208.432,sim,28.20,66.90,,,,,,COM4
1774842208.508,frame,28.19,66.89,,,975,1,1,COM4
1774842208.650,frame,28.19,66.89,,,976,161,1,COM4
1774842209.403,frame,,,215,1486,977,2,1,COM4
1774842209.548,frame,,,215,1486,978,162,1,COM4
1774842209.625,sim,28.35,67.20,,,,,,COM4
1774842209.699,frame,28.34,67.19,,,979,1,1,COM4
1774842209.843,frame,28.34,67.19,,,980,161,1,COM4
1774842209.988,frame,,,180,1508,981,2,1,COM4
1774842210.137,frame,,,180,1508,982,162,1,COM4
1774842210.211,sim,28.50,67.50,,,,,,COM4
1774842210.287,frame,28.49,67.49,,,983,1,1,COM4
1774842210.435,frame,28.49,67.49,,,984,161,1,COM4
1774842210.579,frame,,,145,1530,985,2,1,COM4
1774842210.725,frame,,,145,1530,986,162,1,COM4
1774842211.077,sim,28.65,67.80,,,,,,COM4
1774842211.153,frame,28.64,67.79,,,987,1,1,COM4
1774842211.319,frame,28.64,67.79,,,988,161,1,COM4
1774842211.478,frame,,,110,1552,989,2,1,COM4
1774842211.626,frame,,,110,1552,990,162,1,COM4
1774842212.066,sim,28.80,68.10,,,,,,COM4
1774842212.144,frame,28.79,68.09,,,991,1,1,COM4
1774842212.298,frame,28.79,68.09,,,992,161,1,COM4
1774842212.447,frame,,,1300,1574,993,2,1,COM4
1774842212.595,frame,,,1300,1574,994,162,1,COM4
1774842213.064,sim,28.95,68.40,,,,,,COM4
1774842213.139,frame,28.94,68.39,,,995,1,1,COM4
1774842213.289,frame,28.94,68.39,,,996,161,1,COM4
1774842213.444,frame,,,1265,1596,997,2,1,COM4
1774842213.595,frame,,,1265,1596,998,162,1,COM4
1774842214.061,sim,29.10,68.70,,,,,,COM4
1774842214.135,frame,29.09,68.69,,,999,1,1,COM4
1774842214.288,frame,29.09,68.69,,,1000,161,1,COM4
1774842214.443,frame,,,1230,1618,1001,2,1,COM4
1774842214.597,frame,,,1230,1618,1002,162,1,COM4
1774842215.059,sim,29.25,69.00,,,,,,COM4
1774842215.132,frame,29.24,69.00,,,1003,1,1,COM4
1774842215.286,frame,29.24,69.00,,,1004,161,1,COM4
1774842215.431,frame,,,1195,1640,1005,2,1,COM4
1774842215.575,frame,,,1195,1640,1006,162,1,COM4
1774842216.056,sim,29.40,69.30,,,,,,COM4
1774842216.127,frame,29.39,69.30,,,1007,1,1,COM4
1774842216.268,frame,29.39,69.30,,,1008,161,1,COM4
1774842216.409,frame,,,1160,1662,1009,2,1,COM4
1774842216.554,frame,,,1160,1662,1010,162,1,COM4
1774842217.054,sim,29.55,69.60,,,,,,COM4
1774842217.130,frame,29.54,69.60,,,1011,1,1,COM4
1774842217.274,frame,29.54,69.60,,,1012,161,1,COM4
1774842217.417,frame,,,1125,1684,1013,2,1,COM4
1774842217.557,frame,,,1125,1684,1014,162,1,COM4
1774842218.052,sim,29.70,69.90,,,,,,COM4
1774842218.125,frame,29.69,69.90,,,1015,1,1,COM4
1774842218.265,frame,29.69,69.90,,,1016,161,1,COM4
1774842218.407,frame,,,1090,1706,1017,2,1,COM4
1774842218.555,frame,,,1090,1706,1018,162,1,COM4
1774842219.049,sim,29.85,45.00,,,,,,COM4
1774842219.123,frame,29.84,45.00,,,1019,1,1,COM4
1774842219.268,frame,29.84,45.00,,,1020,161,1,COM4
1774842219.411,frame,,,1055,320,1021,2,1,COM4
1774842220.050,sim,30.00,45.30,,,,,,COM4
1774842220.123,frame,29.99,45.30,,,1022,1,1,COM4
1774842220.269,frame,29.99,45.30,,,1023,161,1,COM4
1774842220.417,frame,,,1020,342,1024,2,1,COM4
1774842221.056,sim,24.00,45.60,,,,,,COM4
1774842221.128,frame,24.00,45.60,,,1025,1,1,COM4
1774842221.269,frame,,,985,364,1026,2,1,COM4
1774842222.048,sim,24.15,45.90,,,,,,COM4
1774842222.121,frame,24.15,45.90,,,1027,1,1,COM4
1774842222.265,frame,,,950,386,1028,2,1,COM4
1774842223.044,sim,24.30,46.20,,,,,,COM4
1774842223.119,frame,24.30,46.19,,,1029,1,1,COM4
1774842223.268,frame,,,915,408,1030,2,1,COM4
1774842224.041,sim,24.45,46.50,,,,,,COM4
1774842224.114,frame,24.45,46.49,,,1031,1,1,COM4
1774842224.258,frame,,,880,430,1032,2,1,COM4
1774842224.405,frame,,,880,430,1033,162,1,COM4
1774842225.042,sim,24.60,46.80,,,,,,COM4
1774842225.119,frame,24.59,46.79,,,1034,1,1,COM4
1774842225.265,frame,,,845,452,1035,2,1,COM4
1774842225.413,frame,,,845,452,1036,162,1,COM4
1774842226.041,sim,24.75,47.10,,,,,,COM4
1774842226.119,frame,24.74,47.09,,,1037,1,1,COM4
1774842226.266,frame,,,810,474,1038,2,1,COM4
1774842226.415,frame,,,810,474,1039,162,1,COM4
1774842227.048,sim,24.90,47.40,,,,,,COM4
1774842227.123,frame,24.89,47.39,,,1040,1,1,COM4
1774842227.270,frame,,,775,496,1041,2,1,COM4
1774842227.417,frame,,,775,496,1042,162,1,COM4
1774842228.061,sim,25.05,47.70,,,,,,COM4
1774842228.138,frame,25.04,47.69,,,1043,1,1,COM4
1774842228.281,frame,,,740,518,1044,2,1,COM4
1774842228.431,frame,,,740,518,1045,162,1,COM4
1774842229.072,sim,25.20,48.00,,,,,,COM4
1774842229.146,frame,25.19,47.99,,,1046,1,1,COM4
1774842229.291,frame,,,705,540,1047,2,1,COM4
1774842229.443,frame,,,705,540,1048,162,1,COM4
1774842230.084,sim,25.35,48.30,,,,,,COM4
1774842230.159,frame,25.34,48.29,,,1049,1,1,COM4
1774842230.304,frame,,,670,562,1050,2,1,COM4
1774842230.458,frame,,,670,562,1051,162,1,COM4
1774842231.098,sim,25.50,48.60,,,,,,COM4
1774842231.174,frame,25.49,48.59,,,1052,1,1,COM4
1774842231.324,frame,,,635,584,1053,2,1,COM4
1774842231.471,frame,,,635,584,1054,162,1,COM4
1774842232.039,sim,25.65,48.90,,,,,,COM4
1774842232.115,frame,25.64,48.89,,,1055,1,1,COM4
1774842232.263,frame,,,600,606,1056,2,1,COM4
1774842232.409,frame,,,600,606,1057,162,1,COM4
1774842233.046,sim,25.80,49.20,,,,,,COM4
1774842233.121,frame,25.79,49.19,,,1058,1,1,COM4
1774842233.267,frame,,,565,628,1059,2,1,COM4
1774842233.414,frame,,,565,628,1060,162,1,COM4
1774842234.058,sim,25.95,49.50,,,,,,COM4
1774842234.137,frame,25.94,49.49,,,1061,1,1,COM4
1774842234.283,frame,,,530,650,1062,2,1,COM4
1774842234.430,frame,,,530,650,1063,162,1,COM4
1774842235.067,sim,26.10,49.80,,,,,,COM4
1774842235.140,frame,26.09,49.79,,,1064,1,1,COM4
1774842235.283,frame,,,495,672,1065,2,1,COM4
1774842235.427,frame,,,495,672,1066,162,1,COM4
1774842236.058,sim,26.25,50.10,,,,,,COM4
1774842236.132,frame,26.24,50.09,,,1067,1,1,COM4
1774842236.275,frame,,,460,694,1068,2,1,COM4
1774842236.418,frame,,,460,694,1069,162,1,COM4
1774842237.056,sim,26.40,50.40,,,,,,COM4
1774842237.130,frame,26.39,50.39,,,1070,1,1,COM4
1774842237.274,frame,,,425,716,1071,2,1,COM4
1774842237.415,frame,,,425,716,1072,162,1,COM4
1774842238.050,sim,26.55,50.70,,,,,,COM4
1774842238.124,frame,26.54,50.69,,,1073,1,1,COM4
1774842238.268,frame,26.54,50.69,,,1074,161,1,COM4
1774842238.410,frame,,,390,738,1075,2,1,COM4
1774842238.556,frame,,,390,738,1076,162,1,COM4
1774842239.035,sim,26.70,51.00,,,,,,COM4
1774842239.108,frame,26.69,50.99,,,1077,1,1,COM4
1774842239.249,frame,26.69,50.99,,,1078,161,1,COM4
1774842239.392,frame,,,355,760,1079,2,1,COM4
1774842239.535,frame,,,355,760,1080,162,1,COM4
1774842240.031,sim,26.85,51.30,,,,,,COM4
1774842240.105,frame,26.84,51.29,,,1081,1,1,COM4
1774842240.248,frame,26.84,51.29,,,1082,161,1,COM4
1774842240.393,frame,,,320,782,1083,2,1,COM4
1774842240.536,frame,,,320,782,1084,162,1,COM4
1774842241.028,sim,27.00,51.60,,,,,,COM4
1774842241.104,frame,26.99,51.59,,,1085,1,1,COM4
1774842241.246,frame,26.99,51.59,,,1086,161,1,COM4
1774842241.390,frame,,,285,804,1087,2,1,COM4
1774842241.540,frame,,,285,804,1088,162,1,COM4
1774842242.025,sim,27.15,51.90,,,,,,COM4
