host_ts,source,temp_c,hum_rh,dist_mm,curr_ma,seq,cmd,crc_ok,port
1774846118.517,sim,25.35,57.60,,,,,,COM4
1774846118.610,frame,25.34,57.59,,,15161,1,1,COM4
1774846118.792,frame,,,320,364,15162,2,1,COM4
1774846118.979,frame,,,320,364,15163,162,1,COM4
1774846119.074,sim,25.50,57.90,,,,,,COM4
1774846119.160,frame,25.49,57.89,,,15164,1,1,COM4
1774846119.329,frame,,,285,386,15165,2,1,COM4
1774846119.493,frame,,,285,386,15166,162,1,COM4
1774846120.040,sim,25.65,58.20,,,,,,COM4
1774846120.124,frame,25.64,58.19,,,15167,1,1,COM4
1774846120.303,frame,,,250,408,15168,2,1,COM4
1774846120.475,frame,,,250,408,15169,162,1,COM4
1774846121.040,sim,25.80,58.50,,,,,,COM4
1774846121.127,frame,25.79,58.49,,,15170,1,1,COM4
1774846121.292,frame,,,215,430,15171,2,1,COM4
1774846121.459,frame,,,215,430,15172,162,1,COM4
1774846122.039,sim,25.95,58.80,,,,,,COM4
1774846122.122,frame,25.94,58.79,,,15173,1,1,COM4
1774846122.293,frame,,,180,452,15174,2,1,COM4
1774846122.466,frame,,,180,452,15175,162,1,COM4
1774846123.040,sim,26.10,59.10,,,,,,COM4
1774846123.194,frame,26.09,59.09,,,15176,1,1,COM4
1774846123.379,frame,,,145,474,15177,2,1,COM4
1774846123.619,frame,,,145,474,15178,162,1,COM4
1774846124.043,sim,26.25,59.40,,,,,,COM4
1774846124.132,frame,26.24,59.39,,,15179,1,1,COM4
1774846124.304,frame,,,110,496,15180,2,1,COM4
1774846124.504,frame,,,110,496,15181,162,1,COM4
1774846125.039,sim,26.40,59.70,,,,,,COM4
1774846125.123,frame,26.39,59.69,,,15182,1,1,COM4
1774846125.340,frame,,,1300,518,15183,2,1,COM4
1774846126.037,sim,26.55,60.00,,,,,,COM4
1774846126.120,frame,26.54,59.99,,,15184,1,1,COM4
1774846126.290,frame,26.54,59.99,,,15185,161,1,COM4
1774846126.454,frame,,,1265,540,15186,2,1,COM4
1774846127.681,sim,26.70,60.30,,,,,,COM4
1774846127.763,frame,26.69,60.29,,,15187,1,1,COM4
1774846127.926,frame,26.69,60.29,,,15188,161,1,COM4
1774846128.101,frame,,,1230,562,15189,2,1,COM4
1774846128.194,sim,26.85,60.60,,,,,,COM4
1774846128.289,frame,26.84,60.59,,,15190,1,1,COM4
1774846128.469,frame,26.84,60.59,,,15191,161,1,COM4
1774846128.687,frame,,,1195,584,15192,2,1,COM4
1774846129.095,sim,27.00,60.90,,,,,,COM4
1774846129.177,frame,26.99,60.89,,,15193,1,1,COM4
1774846129.340,frame,26.99,60.89,,,15194,161,1,COM4
1774846129.504,frame,,,1160,606,15195,2,1,COM4
1774846130.039,sim,27.15,61.20,,,,,,COM4
1774846130.208,frame,27.14,61.19,,,15196,1,1,COM4
1774846130.390,frame,27.14,61.19,,,15197,161,1,COM4
1774846130.565,frame,,,1125,628,15198,2,1,COM4
1774846131.040,sim,27.30,61.50,,,,,,COM4
1774846131.125,frame,27.29,61.49,,,15199,1,1,COM4
1774846131.289,frame,27.29,61.49,,,15200,161,1,COM4
1774846131.522,frame,,,1090,650,15201,2,1,COM4
1774846132.040,sim,27.45,61.80,,,,,,COM4
1774846132.124,frame,27.44,61.79,,,15202,1,1,COM4
1774846132.285,frame,27.44,61.79,,,15203,161,1,COM4
1774846132.450,frame,,,1055,672,15204,2,1,COM4
1774846133.151,sim,27.60,62.10,,,,,,COM4
1774846133.237,frame,27.59,62.09,,,15205,1,1,COM4
1774846133.402,frame,27.59,62.09,,,15206,161,1,COM4
1774846133.571,frame,,,1020,694,15207,2,1,COM4
1774846134.041,sim,27.75,62.40,,,,,,COM4
1774846134.155,frame,27.74,62.39,,,15208,1,1,COM4
1774846134.326,frame,27.74,62.39,,,15209,161,1,COM4
1774846134.494,frame,,,985,716,15210,2,1,COM4
1774846135.041,sim,27.90,62.70,,,,,,COM4
1774846135.176,frame,27.89,62.69,,,15211,1,1,COM4
1774846135.350,frame,27.89,62.69,,,15212,161,1,COM4
