host_ts,source,temp_c,hum_rh,dist_mm,curr_ma,seq,cmd,crc_ok,port
1774852270.322,sim,27.75,67.80,,,,,,COM4
1774852270.418,frame,27.74,67.79,,,37579,1,1,COM4
1774852270.766,frame,27.74,67.79,,,37580,161,1,COM4
1774852270.937,frame,,,110,848,37581,2,1,COM4
1774852271.986,frame,,,110,848,37582,162,1,COM4
1774852272.068,sim,27.90,68.10,,,,,,COM4
1774852272.160,frame,27.89,68.09,,,37583,1,1,COM4
1774852272.481,frame,27.89,68.09,,,37584,161,1,COM4
1774852272.674,frame,,,1300,870,37585,2,1,COM4
1774852273.040,frame,,,1300,870,37586,162,1,COM4
1774852273.131,sim,28.05,68.40,,,,,,COM4
1774852273.218,frame,28.04,68.39,,,37587,1,1,COM4
1774852273.399,frame,28.04,68.39,,,37588,161,1,COM4
1774852273.573,frame,,,1265,892,37589,2,1,COM4
1774852273.749,frame,,,1265,892,37590,162,1,COM4
1774852273.836,sim,28.20,68.70,,,,,,COM4
1774852273.919,frame,28.19,68.69,,,37591,1,1,COM4
1774852274.085,frame,28.19,68.69,,,37592,161,1,COM4
1774852274.252,frame,,,1230,914,37593,2,1,COM4
1774852274.418,frame,,,1230,914,37594,162,1,COM4
1774852274.504,sim,28.35,69.00,,,,,,COM4
1774852274.586,frame,28.34,69.00,,,37595,1,1,COM4
1774852274.755,frame,28.34,69.00,,,37596,161,1,COM4
1774852274.927,frame,,,1195,936,37597,2,1,COM4
1774852275.110,frame,,,1195,936,37598,162,1,COM4
1774852275.284,sim,28.50,69.30,,,,,,COM4
1774852275.366,frame,28.49,69.30,,,37599,1,1,COM4
1774852275.536,frame,28.49,69.30,,,37600,161,1,COM4
1774852275.707,frame,,,1160,958,37601,2,1,COM4
1774852275.873,frame,,,1160,958,37602,162,1,COM4
1774852276.281,sim,28.65,69.60,,,,,,COM4
1774852276.369,frame,28.64,69.60,,,37603,1,1,COM4
1774852276.540,frame,28.64,69.60,,,37604,161,1,COM4
1774852276.711,frame,,,1125,980,37605,2,1,COM4
1774852276.880,frame,,,1125,980,37606,162,1,COM4
1774852277.279,sim,28.80,69.90,,,,,,COM4
1774852277.362,frame,28.79,69.90,,,37607,1,1,COM4
1774852277.527,frame,28.79,69.90,,,37608,161,1,COM4
1774852277.699,frame,,,1090,1002,37609,2,1,COM4
1774852277.865,frame,,,1090,1002,37610,162,1,COM4
1774852278.276,sim,28.95,45.00,,,,,,COM4
1774852278.384,frame,28.94,45.00,,,37611,1,1,COM4
1774852278.583,frame,28.94,45.00,,,37612,161,1,COM4
1774852278.756,frame,,,1055,1024,37613,2,1,COM4
1774852278.919,frame,,,1055,1024,37614,162,1,COM4
1774852279.294,sim,29.10,45.30,,,,,,COM4
1774852279.375,frame,29.09,45.30,,,37615,1,1,COM4
1774852279.543,frame,29.09,45.30,,,37616,161,1,COM4
1774852279.715,frame,,,1020,1046,37617,2,1,COM4
1774852279.878,frame,,,1020,1046,37618,162,1,COM4
1774852280.271,sim,29.25,45.60,,,,,,COM4
1774852280.354,frame,29.24,45.60,,,37619,1,1,COM4
1774852280.519,frame,29.24,45.60,,,37620,161,1,COM4
1774852280.679,frame,,,985,1068,37621,2,1,COM4
1774852280.844,frame,,,985,1068,37622,162,1,COM4
1774852281.268,sim,29.40,45.90,,,,,,COM4
1774852281.352,frame,29.39,45.90,,,37623,1,1,COM4
1774852281.514,frame,29.39,45.90,,,37624,161,1,COM4
1774852281.675,frame,,,950,1090,37625,2,1,COM4
1774852281.838,frame,,,950,1090,37626,162,1,COM4
1774852282.266,sim,29.55,46.20,,,,,,COM4
1774852324.207,sim,29.70,58.80,,,,,,COM4
1774852324.342,frame,29.69,58.79,,,37770,1,1,COM4
1774852324.732,frame,29.69,58.79,,,37771,161,1,COM4
1774852324.906,frame,,,670,628,37772,2,1,COM4
1774852325.073,frame,,,670,628,37773,162,1,COM4
1774852325.204,sim,29.85,59.10,,,,,,COM4
1774852325.288,frame,29.84,59.09,,,37774,1,1,COM4
1774852325.797,frame,29.84,59.09,,,37775,161,1,COM4
1774852326.117,frame,,,635,650,37776,2,1,COM4
1774852326.323,frame,,,635,650,37777,162,1,COM4
1774852326.454,sim,30.00,59.40,,,,,,COM4
1774852326.537,frame,29.99,59.39,,,37778,1,1,COM4
1774852326.737,frame,29.99,59.39,,,37779,161,1,COM4
1774852326.898,frame,,,600,672,37780,2,1,COM4
1774852327.136,frame,,,600,672,37781,162,1,COM4
1774852327.271,sim,24.00,59.70,,,,,,COM4
1774852327.493,frame,24.00,59.69,,,37782,1,1,COM4
1774852327.677,frame,,,565,694,37783,2,1,COM4
1774852327.842,frame,,,565,694,37784,162,1,COM4
1774852328.257,sim,24.15,60.00,,,,,,COM4
1774852328.345,frame,24.15,59.99,,,37785,1,1,COM4
1774852328.507,frame,,,530,716,37786,2,1,COM4
1774852328.784,frame,,,530,716,37787,162,1,COM4
1774852329.196,sim,24.30,60.30,,,,,,COM4
1774852329.315,frame,24.30,60.29,,,37788,1,1,COM4
1774852329.481,frame,24.30,60.29,,,37789,161,1,COM4
1774852329.645,frame,,,495,738,37790,2,1,COM4
1774852329.807,frame,,,495,738,37791,162,1,COM4
1774852330.224,sim,24.45,60.60,,,,,,COM4
1774852330.312,frame,24.45,60.59,,,37792,1,1,COM4
1774852330.479,frame,24.45,60.59,,,37793,161,1,COM4
1774852330.661,frame,,,460,760,37794,2,1,COM4
1774852330.831,frame,,,460,760,37795,162,1,COM4
1774852331.216,sim,24.60,60.90,,,,,,COM4
1774852331.302,frame,24.59,60.89,,,37796,1,1,COM4
1774852331.470,frame,24.59,60.89,,,37797,161,1,COM4
