host_ts,source,temp_c,hum_rh,dist_mm,curr_ma,seq,cmd,crc_ok,port
1774852867.239,sim,25.20,45.60,,,,,,COM4
1774852867.416,frame,25.19,45.60,,,39722,1,1,COM4
1774852867.602,frame,,,1230,1332,39723,2,1,COM4
1774852867.779,frame,,,1230,1332,39724,162,1,COM4
1774852867.942,sim,25.35,45.90,,,,,,COM4
1774852868.851,frame,25.34,45.90,,,39725,1,1,COM4
1774852869.034,frame,,,1195,1354,39726,2,1,COM4
1774852869.205,frame,,,1195,1354,39727,162,1,COM4
1774852869.292,sim,25.50,46.20,,,,,,COM4
1774852869.379,frame,25.49,46.19,,,39728,1,1,COM4
1774852869.539,frame,,,1160,1376,39729,2,1,COM4
1774852869.716,frame,,,1160,1376,39730,162,1,COM4
1774852869.940,sim,25.65,46.50,,,,,,COM4
1774852870.033,frame,25.64,46.49,,,39731,1,1,COM4
1774852870.288,frame,,,1125,1398,39732,2,1,COM4
1774852870.463,frame,,,1125,1398,39733,162,1,COM4
1774852870.940,sim,25.80,46.80,,,,,,COM4
1774852871.024,frame,25.79,46.79,,,39734,1,1,COM4
1774852871.190,frame,,,1090,1420,39735,2,1,COM4
1774852871.353,frame,,,1090,1420,39736,162,1,COM4
1774852871.939,sim,25.95,47.10,,,,,,COM4
1774852872.022,frame,25.94,47.09,,,39737,1,1,COM4
1774852872.184,frame,,,1055,1442,39738,2,1,COM4
1774852872.344,frame,,,1055,1442,39739,162,1,COM4
1774852872.989,sim,26.10,47.40,,,,,,COM4
1774852873.071,frame,26.09,47.39,,,39740,1,1,COM4
1774852873.235,frame,,,1020,1464,39741,2,1,COM4
1774852873.397,frame,,,1020,1464,39742,162,1,COM4
1774852873.938,sim,26.25,47.70,,,,,,COM4
1774852874.022,frame,26.24,47.69,,,39743,1,1,COM4
1774852874.183,frame,,,985,1486,39744,2,1,COM4
1774852874.345,frame,,,985,1486,39745,162,1,COM4
1774852874.937,sim,26.40,48.00,,,,,,COM4
1774852875.023,frame,26.39,47.99,,,39746,1,1,COM4
1774852875.189,frame,,,950,1508,39747,2,1,COM4
1774852875.356,frame,,,950,1508,39748,162,1,COM4
