host_ts,source,temp_c,hum_rh,dist_mm,curr_ma,seq,cmd,crc_ok,port
1774856389.382,sim,27.15,69.30,,,,,,COM4
1774856389.475,frame,27.14,69.30,,,4297,1,1,COM4
1774856389.649,frame,27.14,69.30,,,4298,161,1,COM4
1774856389.832,frame,,,915,342,4299,2,1,COM4
1774856389.968,sim,27.30,69.60,,,,,,COM4
1774856390.052,frame,27.29,69.60,,,4300,1,1,COM4
1774856390.236,frame,27.29,69.60,,,4301,161,1,COM4
1774856390.407,frame,,,880,364,4302,2,1,COM4
1774856390.965,sim,27.45,69.90,,,,,,COM4
1774856391.053,frame,27.44,69.90,,,4303,1,1,COM4
1774856391.214,frame,27.44,69.90,,,4304,161,1,COM4
1774856391.875,frame,,,845,386,4305,2,1,COM4
1774856391.964,sim,27.60,45.00,,,,,,COM4
1774856392.055,frame,27.59,45.00,,,4306,1,1,COM4
1774856392.230,frame,,,810,408,4307,2,1,COM4
1774856392.959,sim,27.75,45.30,,,,,,COM4
1774856393.044,frame,27.74,45.30,,,4308,1,1,COM4
1774856393.207,frame,,,775,430,4309,2,1,COM4
1774856393.956,sim,27.90,45.60,,,,,,COM4
1774856394.035,frame,27.89,45.60,,,4310,1,1,COM4
1774856394.191,frame,,,740,452,4311,2,1,COM4
1774856394.953,sim,28.05,45.90,,,,,,COM4
1774856395.030,frame,28.04,45.90,,,4312,1,1,COM4
1774856395.292,frame,,,705,474,4313,2,1,COM4
1774856395.975,sim,28.20,46.20,,,,,,COM4
1774856396.068,frame,28.19,46.19,,,4314,1,1,COM4
1774856396.238,frame,,,670,496,4315,2,1,COM4
1774856396.946,sim,28.35,46.50,,,,,,COM4
1774856397.025,frame,28.34,46.49,,,4316,1,1,COM4
1774856397.190,frame,,,635,518,4317,2,1,COM4
1774856397.943,sim,28.50,46.80,,,,,,COM4
1774856398.037,frame,28.49,46.79,,,4318,1,1,COM4
1774856398.205,frame,,,600,540,4319,2,1,COM4
1774856398.377,frame,,,600,540,4320,162,1,COM4
1774856398.938,sim,28.65,47.10,,,,,,COM4
1774856399.023,frame,28.64,47.09,,,4321,1,1,COM4
1774856399.194,frame,28.64,47.09,,,4322,161,1,COM4
1774856399.387,frame,,,565,562,4323,2,1,COM4
1774856399.562,frame,,,565,562,4324,162,1,COM4
1774856399.934,sim,28.80,47.40,,,,,,COM4
1774856400.018,frame,28.79,47.39,,,4325,1,1,COM4
1774856400.184,frame,28.79,47.39,,,4326,161,1,COM4
1774856400.344,frame,,,530,584,4327,2,1,COM4
1774856400.503,frame,,,530,584,4328,162,1,COM4
1774856400.930,sim,28.95,47.70,,,,,,COM4
1774856401.017,frame,28.94,47.69,,,4329,1,1,COM4
1774856401.179,frame,28.94,47.69,,,4330,161,1,COM4
1774856401.350,frame,,,495,606,4331,2,1,COM4
1774856401.505,frame,,,495,606,4332,162,1,COM4
1774856401.926,sim,29.10,48.00,,,,,,COM4
1774856402.005,frame,29.09,47.99,,,4333,1,1,COM4
1774856402.177,frame,29.09,47.99,,,4334,161,1,COM4
1774856402.351,frame,,,460,628,4335,2,1,COM4
1774856402.534,frame,,,460,628,4336,162,1,COM4
1774856402.921,sim,29.25,48.30,,,,,,COM4
1774856403.003,frame,29.24,48.29,,,4337,1,1,COM4
1774856403.170,frame,29.24,48.29,,,4338,161,1,COM4
1774856403.343,frame,,,425,650,4339,2,1,COM4
1774856403.523,frame,,,425,650,4340,162,1,COM4
1774856403.917,sim,29.40,48.60,,,,,,COM4
1774856404.000,frame,29.39,48.59,,,4341,1,1,COM4
1774856404.169,frame,29.39,48.59,,,4342,161,1,COM4
1774856404.348,frame,,,390,672,4343,2,1,COM4
1774856404.535,frame,,,390,672,4344,162,1,COM4
1774856404.922,sim,29.55,48.90,,,,,,COM4
1774856405.009,frame,29.54,48.89,,,4345,1,1,COM4
