host_ts,source,temp_c,hum_rh,seq,cmd,crc_ok,port
1774840389.675,sim,27.45,67.10,,,,COM4
1774840389.754,frame,27.44,67.10,102,1,1,COM4
1774840389.908,frame,27.44,67.10,103,161,1,COM4
1774840389.988,sim,27.60,67.40,,,,COM4
1774840390.073,frame,27.59,67.40,104,1,1,COM4
1774840390.235,frame,27.59,67.40,105,161,1,COM4
1774840390.687,sim,27.75,67.70,,,,COM4
1774840390.762,frame,27.74,67.70,106,1,1,COM4
1774840390.907,frame,27.74,67.70,107,161,1,COM4
1774840392.214,sim,27.90,68.00,,,,COM4
1774840392.292,frame,27.89,68.00,108,1,1,COM4
1774840392.441,frame,27.89,68.00,109,161,1,COM4
1774840392.688,sim,28.05,68.30,,,,COM4
1774840392.768,frame,28.04,68.30,110,1,1,COM4
1774840392.921,frame,28.04,68.30,111,161,1,COM4
1774840393.689,sim,28.20,68.60,,,,COM4
1774840393.763,frame,28.19,68.60,112,1,1,COM4
1774840393.911,frame,28.19,68.60,113,161,1,COM4
1774840394.689,sim,28.35,68.90,,,,COM4
