host_ts,source,temp_c,hum_rh,dist_mm,curr_ma,seq,cmd,crc_ok,port
1774857140.347,sim,26.25,64.70,,,,,,COM4
1774857140.441,frame,26.24,64.69,,,137,1,1,COM4
1774857140.616,frame,,,705,1428,138,2,1,COM4
1774857140.787,frame,,,705,1428,139,162,1,COM4
1774857140.874,sim,26.40,65.00,,,,,,COM4
1774857140.961,frame,26.39,64.99,,,140,1,1,COM4
1774857141.132,frame,,,670,1450,141,2,1,COM4
1774857141.299,frame,,,670,1450,142,162,1,COM4
1774857141.439,sim,26.55,65.30,,,,,,COM4
1774857141.528,frame,26.54,65.29,,,143,1,1,COM4
1774857141.699,frame,,,635,1472,144,2,1,COM4
1774857141.871,frame,,,635,1472,145,162,1,COM4
1774857142.437,sim,26.70,65.60,,,,,,COM4
1774857142.530,frame,26.69,65.59,,,146,1,1,COM4
1774857142.696,frame,,,600,1494,147,2,1,COM4
1774857142.862,frame,,,600,1494,148,162,1,COM4
1774857143.434,sim,26.85,65.90,,,,,,COM4
1774857143.523,frame,26.84,65.89,,,149,1,1,COM4
1774857143.698,frame,,,565,1516,150,2,1,COM4
1774857143.870,frame,,,565,1516,151,162,1,COM4
1774857144.432,sim,27.00,66.20,,,,,,COM4
1774857144.521,frame,26.99,66.19,,,152,1,1,COM4
1774857144.688,frame,,,530,1538,153,2,1,COM4
1774857144.855,frame,,,530,1538,154,162,1,COM4
1774857145.430,sim,27.15,66.50,,,,,,COM4
1774857145.516,frame,27.14,66.49,,,155,1,1,COM4
1774857145.687,frame,,,495,1560,156,2,1,COM4
1774857145.854,frame,,,495,1560,157,162,1,COM4
1774857146.428,sim,27.30,66.80,,,,,,COM4
1774857146.516,frame,27.29,66.79,,,158,1,1,COM4
1774857146.683,frame,,,460,1582,159,2,1,COM4
1774857146.850,frame,,,460,1582,160,162,1,COM4
1774857147.426,sim,27.45,67.10,,,,,,COM4
1774857147.511,frame,27.44,67.10,,,161,1,1,COM4
1774857147.681,frame,,,425,1604,162,2,1,COM4
1774857147.856,frame,,,425,1604,163,162,1,COM4
1774857148.424,sim,27.60,67.40,,,,,,COM4
1774857148.509,frame,27.59,67.40,,,164,1,1,COM4
1774857148.675,frame,,,390,1626,165,2,1,COM4
1774857148.839,frame,,,390,1626,166,162,1,COM4
1774857149.498,sim,27.75,67.70,,,,,,COM4
1774857149.582,frame,27.74,67.70,,,167,1,1,COM4
1774857149.744,frame,,,355,1648,168,2,1,COM4
